229,678,800
938,262,554
457,338,700
564,902,147
606,433,121
895,367,398
714,57,126
410,117,842
648,101,306
10,442,637
65,590,818
78,651,269
729,761,718
880,881,564
332,825,165
901,115,796
884,254,331
310,48,487
987,847,539
640,22,513
185,434,781
197,37,250
878,445,734
807,311,417
511,738,835
137,59,976
470,211,343
965,780,243
934,871,373
727,791,852
557,955,776
767,565,337
349,646,309
411,641,462
680,241,70
725,469,755
253,686,544
543,710,2
168,338,548
466,699,363
258,468,714
603,783,535
811,482,320
445,893,518
311,299,910
643,879,874
631,427,575
988,26,657
990,666,726
461,351,777
378,149,895
314,521,410
393,596,762
615,552,88
369,785,128
720,67,2
706,825,865
374,999,52
444,480,942
784,947,129
733,719,883
772,953,628
649,343,415
113,219,40
507,708,163
313,962,442
581,181,614
149,524,102
548,683,617
963,847,181
741,792,787
90,346,391
706,211,537
899,67,425
254,950,260
154,378,762
987,442,475
608,403,910
938,324,268
233,709,697
199,890,108
438,367,594
6,380,224
553,641,617
289,556,628
312,269,166
845,268,556
288,826,577
132,30,384
590,122,507
169,71,894
602,516,469
264,485,287
600,104,203
589,138,996
90,740,93
12,758,558
322,815,971
679,82,378
424,845,337
946,536,820
419,151,230
267,615,947
18,263,567
97,704,717
210,395,657
250,571,686
207,130,416
207,113,751
359,630,326
503,253,903
568,517,67
739,790,939
138,285,456
120,978,791
734,291,923
26,15,425
213,60,635
522,275,810
966,714,247
920,257,596
326,778,641
830,654,836
925,874,426
324,310,177
834,195,625
989,992,681
558,617,904
965,190,883
116,834,45
591,343,695
400,362,289
408,15,718
214,521,514
554,9,537
438,481,103
295,896,48
757,754,241
227,369,772
345,388,805
77,832,609
512,14,338
76,674,396
53,564,177
931,332,909
415,484,239
569,544,95
441,509,477
450,3,349
403,525,996
448,766,763
131,610,739
507,496,541
312,512,109
684,445,210
435,52,686
255,819,525
966,913,159
396,471,4
736,618,483
943,396,916
869,197,981
322,366,848
154,553,881
38,999,245
462,474,834
962,751,346
22,605,127
170,384,837
385,537,414
108,144,909
187,876,515
590,666,524
797,470,922
475,611,615
752,995,480
309,500,489
871,185,580
78,620,724
234,32,389
445,86,109
552,424,45
975,559,662
419,784,663
707,173,910
318,656,252
4,494,787
585,722,708
949,568,893
179,437,211
310,838,953
440,28,536
834,80,595
218,457,901
360,970,401
536,827,419
543,208,72
556,670,268
487,694,469
791,534,886
112,389,870
945,224,163
300,718,846
368,190,335
755,240,664
273,954,891
488,878,597
281,576,629
19,436,171
48,585,412
738,648,350
416,232,460
837,10,680
527,386,400
477,582,382
347,869,442
906,929,849
870,44,980
434,804,965
338,295,362
879,952,188
323,306,247
590,63,537
171,731,660
981,413,161
949,208,136
950,643,437
509,606,234
357,180,990
161,683,167
420,463,957
230,479,987
764,776,515
713,466,133
747,839,942
611,19,957
697,268,582
74,57,425
759,962,642
114,359,393
442,727,451
715,935,8
592,801,54
398,764,575
290,981,206
496,203,98
213,22,433
501,35,393
856,705,169
623,338,464
320,904,515
936,97,241
564,375,707
523,571,491
422,574,252
318,601,580
709,412,36
311,991,525
247,957,273
498,124,212
98,260,314
585,247,844
80,449,98
353,686,978
412,641,625
398,843,311
211,548,214
174,889,504
452,42,537
518,196,906
701,7,610
275,928,865
291,631,702
986,208,225
865,959,255
34,464,537
33,69,532
625,718,227
111,91,9
406,296,324
96,409,893
717,585,384
886,267,670
808,166,991
406,389,967
850,505,531
98,413,757
343,232,158
417,240,532
609,244,439
683,165,130
459,276,922
482,896,585
209,372,661
885,741,962
582,594,180
296,384,480
915,268,212
869,46,629
947,267,617
782,729,622
153,523,547
11,303,630
951,54,296
402,752,771
424,197,280
87,846,407
312,963,281
75,780,73
872,705,130
247,502,189
388,528,902
451,768,487
961,901,128
251,465,536
206,991,708
903,834,86
227,812,373
563,335,899
823,11,206
295,514,161
965,398,189
522,270,806
678,377,512
522,763,565
721,303,908
829,909,297
93,902,972
124,899,679
17,193,715
540,697,935
249,61,619
740,413,568
387,209,379
341,575,436
701,466,290
227,162,188
196,22,889
389,252,29
980,234,405
470,592,114
595,860,819
471,79,321
895,591,587
590,715,334
815,961,545
0,836,754
805,367,898
943,962,150
968,144,343
717,449,645
955,716,591
492,261,152
720,24,590
820,369,834
767,714,830
239,213,615
848,851,613
140,641,732
254,357,443
478,776,488
373,850,793
47,946,444
563,607,195
222,837,627
426,425,71
138,942,9
937,476,502
437,664,735
430,346,291
877,256,105
677,563,517
661,164,79
456,226,73
974,265,491
580,553,83
239,612,494
527,326,737
437,141,407
540,801,931
241,510,532
272,9,835
206,658,942
389,772,153
408,902,50
478,935,469
125,757,686
632,800,548
724,631,843
624,421,511
751,990,249
930,487,485
133,377,53
636,425,944
13,616,909
519,702,44
610,362,860
548,677,698
508,200,980
845,523,896
282,969,53
79,604,835
160,325,40
361,56,280
948,949,963
385,603,582
699,593,417
359,680,636
453,103,436
332,180,704
642,66,598
469,86,325
549,990,828
223,75,978
958,153,17
802,156,296
226,739,493
880,450,176
364,766,178
922,265,189
772,245,629
103,965,73
895,706,103
452,347,858
813,333,930
908,81,5
109,308,414
741,920,423
436,633,932
634,896,216
117,934,67
341,167,311
942,906,368
128,190,856
662,709,979
280,565,980
793,33,124
38,104,576
208,760,140
254,259,669
729,645,597
997,806,950
209,614,723
853,765,478
890,285,488
589,314,707
349,806,863
146,832,912
734,37,999
848,161,833
169,446,512
123,642,246
295,858,767
131,563,283
158,902,27
956,603,982
559,584,952
348,113,250
706,304,450
883,933,258
245,480,125
478,755,937
177,172,509
593,17,674
870,533,410
349,944,561
556,79,947
493,169,430
464,606,260
639,490,448
991,524,684
452,85,898
952,674,145
204,724,635
193,628,630
318,550,402
439,403,203
222,595,774
153,223,578
420,935,579
221,526,868
37,978,9
900,206,847
881,856,39
787,21,657
522,700,402
47,253,56
680,434,961
658,329,460
848,755,8
383,364,588
277,816,679
558,592,426
377,363,753
424,18,227
519,51,112
99,423,565
85,779,716
357,817,206
281,484,436
557,874,428
342,32,904
12,220,74
429,306,87
101,114,399
434,447,706
586,198,971
144,94,792
345,76,372
506,196,458
923,820,419
600,835,665
286,471,196
905,714,50
170,786,592
272,35,969
802,314,906
33,112,223
