1000,1000,1000,1000,1000
1,1000,1000,1000,1000
998,1,998,998,998
3,3,998,998,998
996,996,3,996,996
5,996,5,996,996
994,5,5,994,994
7,7,7,994,994
992,992,992,7,992
9,992,992,9,992
990,9,990,9,990
11,11,990,11,990
988,988,11,11,988
13,988,13,13,988
986,13,13,13,986
15,15,15,15,986
984,984,984,984,15
17,984,984,984,17
982,17,982,982,17
19,19,982,982,19
980,980,19,980,19
21,980,21,980,21
978,21,21,978,21
23,23,23,978,23
976,976,976,23,23
25,976,976,25,25
974,25,974,25,25
27,27,974,27,27
972,972,27,27,27
29,972,29,29,29
970,29,29,29,29
31,31,31,31,31
968,968,968,968,968
33,968,968,968,968
966,33,966,966,966
35,35,966,966,966
964,964,35,964,964
37,964,37,964,964
962,37,37,962,962
39,39,39,962,962
960,960,960,39,960
41,960,960,41,960
958,41,958,41,958
43,43,958,43,958
956,956,43,43,956
45,956,45,45,956
954,45,45,45,954
47,47,47,47,954
952,952,952,952,47
49,952,952,952,49
950,49,950,950,49
51,51,950,950,51
948,948,51,948,51
53,948,53,948,53
946,53,53,946,53
55,55,55,946,55
944,944,944,55,55
57,944,944,57,57
942,57,942,57,57
59,59,942,59,59
940,940,59,59,59
61,940,61,61,61
938,61,61,61,61
63,63,63,63,63
936,936,936,936,936
65,936,936,936,936
934,65,934,934,934
67,67,934,934,934
932,932,67,932,932
69,932,69,932,932
930,69,69,930,930
71,71,71,930,930
928,928,928,71,928
73,928,928,73,928
926,73,926,73,926
75,75,926,75,926
924,924,75,75,924
77,924,77,77,924
922,77,77,77,922
79,79,79,79,922
920,920,920,920,79
81,920,920,920,81
918,81,918,918,81
83,83,918,918,83
916,916,83,916,83
85,916,85,916,85
914,85,85,914,85
87,87,87,914,87
912,912,912,87,87
89,912,912,89,89
910,89,910,89,89
91,91,910,91,91
908,908,91,91,91
93,908,93,93,93
906,93,93,93,93
95,95,95,95,95
904,904,904,904,904
97,904,904,904,904
902,97,902,902,902
99,99,902,902,902
900,900,99,900,900
