31,60,47,75
9,76,85,47
13,23,96,75
69,82,57,24
42,52,7,74
44,78,17,98
94,7,90,92
28,78,49,30
69,30,18,79
33,33,52,49
87,38,57,9
45,3,78,23
44,11,76,22
17,94,1,83
19,26,22,92
44,42,76,12
23,29,51,85
40,48,86,27
79,62,59,85
21,88,82,55
95,38,66,92
98,46,89,95
77,65,66,12
61,81,31,34
51,11,66,74
70,59,52,99
62,36,67,2
17,76,18,50
81,24,8,22
41,11,37,17
22,52,6,86
25,85,44,76
11,12,42,88
70,44,49,82
29,99,82,98
91,66,18,83
40,42,93,81
33,9,49,78
29,34,25,31
21,30,32,2
73,43,68,98
1,41,68,57
38,91,13,94
93,49,1,82
38,42,55,74
28,5,58,27
9,22,26,65
28,84,28,28
91,98,87,94
5,56,43,32
49,64,68,66
80,31,71,71
67,83,85,21
44,84,75,28
66,93,46,88
7,91,88,92
48,73,69,36
6,96,87,87
91,75,99,64
13,80,86,17
53,54,52,24
73,87,34,79
79,56,87,21
52,2,24,46
63,68,53,34
3,80,30,27
80,7,69,88
86,47,30,57
70,26,87,83
79,84,9,50
92,29,90,23
56,88,63,52
82,2,78,44
16,76,20,72
19,11,9,67
37,51,45,96
83,19,35,85
16,35,60,43
33,19,51,69
78,25,82,22
43,94,38,58
17,67,40,0
36,97,7,76
9,75,43,74
35,50,3,77
20,31,50,32
41,40,3,4
99,59,80,48
68,86,69,77
55,70,78,25
41,92,81,53
84,21,38,8
15,77,99,0
83,76,95,92
39,24,20,42
13,49,26,23
41,89,46,42
11,14,21,0
81,17,64,48
19,88,18,1
